Fastighetsbeteckning,Adress,Kommunnamn
Banken 9,Postgången 28-32,Solna
Platån 19,Västra Vägen 5 A,Solna
Banken 9,Postgången 18-22,Solna
Platån 19,Västra Vägen 5 B,Solna
Hexametern 2,Ekensbergsvägen 63,Solna
Krutdurken 2,Östervägen 4,Solna
Krutdurken 2,Östervägen 2,Solna
Sonetten 4,Virebergsvägen 1,Solna
Platån 17,Västra Vägen 3B,Solna
Platån 20,Västra Vägen 7 A,Solna
Hexametern 1,Ekensbergsvägen 71,Solna
Frithiof 3,Vasavägen 11,Solna
Framnäs 18,Vasavägen 29,Solna
Platån 20,Västra Vägen 7 D,Solna
Skytteholm 2:18,Centralvägen,Solna
Skytteholm 2:18,Centralvägen,Solna
Hexametern 1,Ekensbergsvägen 79,Solna
Banken 11,Centralvägen 12,Solna
Sonetten 3,Virebergsvägen 3,Solna
Platån 17,Västra Vägen 1D,Solna
Flustret 19,Gustafsvägen 14,Solna
Banken 11,Solna Torg 2-4,Solna
Banken 11,Hotellgatan 2,Solna
Hexametern 3,Virebergsvägen 2-4,Solna
Bellona 1,Vasavägen 8,Solna
Bellona 6,Vasavägen 6,Solna
Skolan 14,Ekensbergsvägen 90,Solna
Platån 21,Västra Vägen 9 C,Solna
Flora 1,Gustafsvägen 11 B,Solna
Eposet 2,Höstvägen 3,Solna
Flustret 21,Gustafsvägen 10-12,Solna
Flustret 4,Södra Långgatan 35,Solna
Bellona 7,Vasavägen 2,Solna
Banken 11,Centralvägen 6-8,Solna
Platån 21,Västra Vägen 9 D,Solna
Flustret 5,Södra Långgatan 33,Solna
Banken 2,Stadshusgången 10,Solna
Sonetten 2,Virebergsvägen 5,Solna
Rubinen 1,Skytteholmsvägen 26,Solna
Flora 2,Södra Långgatan 25,Solna
Banken 2,Stadshusgången 10,Solna
Rubinen 1,Centralvägen 17,Solna
Åsen 3,Åsvägen 3,Solna
Aspen 20,Aspstigen 4,Solna
Bellona 5,Södra Långgatan 19,Solna
Åsbacken 2,Åsvägen 2,Solna
Eposet 3,Virebergsvägen 8,Solna
Diamanten 2,Centralvägen 9,Solna
Eposet 1,Ekensbergsvägen 85,Solna
Eposet 4,Sommarvägen 2,Solna
Sonetten 1,Virebergsvägen 7,Solna
Rubinen 1,Skytteholmsvägen 22,Solna
Platån 22,Västra Vägen 11 B,Solna
Diamanten 2,Centralvägen 15,Solna
Åsbacken 2,Åsvägen 4,Solna
Åsen 3,Åsvägen 5,Solna
Diamanten 2,Centralvägen 1,Solna
Platån 23,Blomgatan 3,Solna
Ekensberg 2,Sommarvägen 5,Solna
Platån 23,Blomgatan 3,Solna
Ekensberg 3,Sommarvägen 3,Solna
Åsen 3,Åsvägen 7,Solna
Smaragden 1,Hannebergsgatan 22,Solna
Åsbacken 2,Åsvägen 6,Solna
Smaragden 2,Hannebergsgatan 20,Solna
Ekensberg 1,Vårvägen 5,Solna
Skytten 2,Skytteholmsvägen 33,Solna
Skytten 1,Sagagatan 15,Solna
Epigrammet 1,Ekensbergsvägen 87,Solna
Åsen 3,Åsvägen 9,Solna
Smaragden 3,Hannebergsgatan 18,Solna
Nyboda 11,Ankdammsgatan 14-16 ing A1,Solna
Ekensberg 4,Virebergsvägen 16,Solna
Ekensberg 4,Virebergsvägen 14,Solna
Kärven 1,Råsundavägen 66,Solna
Nyboda 11,Ankdammsgatan 14-16 ing 3A,Solna
Nyboda 6,Nybodagatan 16,Solna
Juvenalen 4,Råsundavägen 80,Solna
Juvenalen 4,Råsundavägen 80,Solna
Juvenalen 4,Råsundavägen 80,Solna
Hanneberg 1,Hannebergsgatan 23,Solna
Nordan 18,Hagalundsgatan 3,Solna
Kristallen 4,Sagagatan 12-14,Solna
Muraren 3,Nybodagatan 7,Solna
Kärven 2,Råsundavägen 64,Solna
Kärven 3,Råsundavägen 62,Solna
Nordan 18,Hagalundsgatan 5,Solna
Nyboda 6,Nybodagatan 14,Solna
Idyllen 2,Ekensbergsvägen 89,Solna
Opalen 5,Hannebergsgatan 16,Solna
Idyllen 2,Ekensbergsvägen 89,Solna
Gläntan 14,Östervägen 36,Solna
Körsbärsträdet 5,Erik Sandbergs Gata 17,Solna
Lövdungen 5,Backvägen 2,Solna
